Letters,Target
vie mauicaljoural 1 ay 1976 plasma nicotine levels after cigarette smoking and chewing nicotine gum mahrussell cfeverabend pv cole rh me jal 1085108 panne nicotine levels were messured over seven hours ctrmobing cigaretces 22 mg niotioe ina single wubleet shir stondordised conditios and were compared with he incl abisined from chewinggurm containing either zinger 4 mp picotine leveh comporable to these reelt« ag fom smoking were sot abtaioed with the 2g gum but peok levels oo the emg nut averaged 401 from the third gurn omarde compared with 49296 al tier sigarctce nicotine was atsorbed much more ‘than from cigarettes i took 1530 incense of fing rol srithin two minutes of completion toch lgoreticr fa a sample of io smokers attending  shihirawal clinic the average plosna nicctive concenera ‘2emg nicotine chevsioggum was only 1g ml two minvtes afer frochng a cigarete althourt me teves evitlent to tote following cigarette smoking may be ‘hinind by chewing at teast 10 pieces of some nicotine fgum duly the slower rate of sbsurptlon way uni i rerepeutic valve ara subsite for chparctte smoking reduction orally flecive treatment for dependent robocco smokers ace found so ians amchers need hep that be wseel a me ee a retment aes beng efectne wood have over admnsired on requre only amirumum of tine ror 3 ‘der ov ieropat one appresch has been the serch fo 3 sensor uve for semperary we during wibaraval loble exi wanquifuers ate ell led uous they ate no more eecine than ¢ placebo inet of cote ops bas sete inituory fect on seking whch is nou snpriine event f the mvotine seated through the gots meat bedding tft panage seuph heer before ever reaching ge feral cocalatwns abmuph cipsrene croup” and eosumprion are both seduced by recline imecen the ‘ehuoams metas sna exerctan ef ictine 130 p10 ‘arco many smectons would re needed for that be 2 pree tal fm of substation thes ths bring ds however serge sme form of semaine mcotine jose might be sreiconc temporary subsite for smohine aod 5 such svc hiwegaree withdrawal pen nite crom evpa leadon se nosis mewnich laborson st baridlomen hostal with this in mind » chewing cootsning scone has teen developed in sweden and eal a tere sogget tat may be suse an to eget vatheraval benes coo gomtng a cimeol snl” we have studied the plasma mote ieee bain tom chewing mcetie rum and compared them swan levels ater smoking cartes sebjcets and methods “the nicotine chewinggum was maafacaed and wiped by evil gs er sean sain eds ihn eekonyer tur alana be relied wy ev 30530 vies nike pum chewed the of lee bene dependent on beeignslans ricofemwing browitaca stern ef memo ‘ren copenen fe gun smu abater whch hep the ae memo out 83 ate gums chewed mule need sommes we ten fom 2 esato man ox saat tg noes cuore le be er aed eens sheed sto erbimg pun the toben ow argu crete shoterahcnlsscé anges an vengee 2 preics 4a bis roland ofgsenppearipwenenar sed 20mg mccune tm ot gids ne entenmenhbeiee ct 2 expen be fed rom sesh fora kn 13 boars ammon cent 95 shomer ofa he wre rood seme sh mee dae ert etc ven wean ondncing ele allen es soo on 41 990 10 107 1013 1030 om and soem or sen bousto see rene tmpes mone de hig seance tactic a 90s een em subd ove he wits sotvencon cate mere tmoted ov de bout to ea ‘inves cen crertneseven boar of exponent the nang ho tad sestes se err oe betray 10 2 and 95 ‘rinne ave cumpeung exch te een citer te exten shnreewed wnt emu teste chew fr sure on seed sens oso st seen nes dng de severour srenmene yy fcgueny of bod taping alowed te fak ‘eine veh aes cipmene sotoy sad chewing emg tue dont tr coms nolan ie numa or toops lees it itt ents fest crn pum to eure th amount of ead footed when sonfang the rg eoine gam bod sample were soe en nous on te bar it before the sabes chewed eb fe ogo thx enbisn so compare oops hve so net a fest nme mci ure saree collec howl and he rh ‘copied mest ‘the bie romance balan surg ue ‘shunt conch eae ich ecen 130 and l300 a fle fron nding ee af the wows eceton ty of nse ah ‘suaree ws plvma and ome mesune eve of sabe and a ‘sool or nce i ‘abet beng sper” henrictcum weiecompated in fs sie aending dhe sods msp sesage come be wher moncr nee emit ase iy geecuibed dow venon thas ons wate bea te  cn iter es hd peer bum tng atsimens reese ab cohtoed pmn 98 2 ss,6
v8pl8lls807 original message from ese paula sent friday september 28 2001 604 pm to desel paula betind ark subject re draft buyout document just spoke with denise  she would like an update on the status can you let john know and il putt on the agenda,2
advertising age oye timn 259668  sune 23 1975 top 100 national newspaper advertisers invested 505878113 during 1974 2 2 es a x2 3 35 26 38 2 0 2 s 46 2 2 30 prepaced by research cap newspaper advertising bureau rj reynolds industries ne general motors corp priip morn co chyler corp uowtph € seagram  sone ine amatican brands ine fora moter go rane word aiines ine brtihsameican tobacco ut amerian airines tne nate ale nes ine ea corp genera foode cop rapidamevican corp toyota motor co lt us government pan american world aioeays hiram walker gooderham  worts genera bete co pga myers ine dmerian mators corp heublain ine volkswagen of ararica ine columbia broadcasting system american teaphone  telegraph co wands motors of amaia ine international telephone  telegraph imercan brondeastng co ine brant international wn wrigley jr co ‘brown forman oietllers corp nationa arne ne esstman koaak guaner oats ce coca co polaroid corp say noes cor house of wesley ne ralston patna co owo ot america corp uv bros co moradee bet of north amaia ne 1974 49160697  ‘ausoart  221183981 19s09004 16716662 14801546 143808341 13202180 10888 796 19008897 9501987 9820089 8246017 sois31  8008880 sears 5564939 5512323 sasoee 5288507 saisan  5177798 5078363 4334363 4738258 4367969 190919  3997805 3927803 3aedies 3810006 3560600  330486  303317  3461329 aaooaia 3202136 susasi0  3108393 posi a7 3020551 3orroiz 298126 2778481  228735 66 n 2 3 s 1 m 8 a os 88 a 2 7 3 100 zenith radio corp continental aine ne northwest aitines ne conslcnted foods cor rented importers ne colgate aimaive a stocrest products of clioria vant garde media tne national oistirs  chemieal cor campet soup co kelogg co wrirpest corp nissan motor cor lt rockwell internation ‘doubledy  o ine bextce foods borden ne exxon cop ‘greyhound corp neste co in national ubery alagheny aine ne peugeot ine haband co procter  gamble co aresean daley an neat telephone  becton ‘merean home products corp star cross american express co george a hormel  co ‘tantie renils co aration co ‘westinghouse ecc comp holiday tons of america ie bistot myers co fiat spa tocino tay foremestitekesson ne american astrologial assn costa line ine forth ameican philips corp 1u international crp warner lambert co tota top 100 newspaper averisers tifl 053 1974 5 2718196 254096 2597799 25sa271 2503 049 2503262 2800477 2a73588 bacar 2466851 2401396 2397061 2379288 234661 2303877 2285608 2ee1 390 2ast asi 2199498 2isoass 224486 2078980 2068207 2owa7a3 1947006 1790786 1768710 1740098 tess 165616 teteae 686008 hear yeaaese 1627740 vso2en1 vs2a908 vse ise 14991899 10686 yase04e waese7 1909587 360140 asian 1207108 vzasese 1eeasa zaiare ‘seosa7803 2614,9
the new york times new york wednesday january 11 1995 businesses face facts of smoking curbs by douglas martin people are present and all agree to  philip morris said today that twas secatiotie yon tne allow i the olé law oid not regulate new york jan 10 — atier the number who could be smoking at ue any onetime in private offices p ttalian steakhouse in ry manhattans meatpacking district ‘j otiers like chase manhattan ismoving around ecormer toanew “bank which has a single smoking space with enough room for a segre lounge for 5000 employees said it ed mong bung chanussle sendy comples ano sul ers geceeannakets gesaurane’ brambing si thy woul compe ‘the mayor had left hie doubt ‘during todays hearing that he would ‘ban the measure more than 100 clues and4 states have passed no ‘smoking ordinances for public ee bowling inthe por pees this where the rest of ‘authority bullding welcomes the america is going mr giuliani sai ‘ew restrictions and promises toen new york city is going to get the force them aggressively but bow litle bit slower than others and ‘mor lanes or university piace de little bit faser than ozners pairs over having to contine smok milam althaus an oficial ot she ferstodesignaied areas im notthe smokers allance a smoking grap police” said theodore bournis wno sal claums 200000 members inthe ‘wns the alley theres nouing i an do believe me ‘mayor guulans ged te aw ats yrutesistinoiorbeacacieay some restaurants say aliestured on oe sie uses mummunanacnecss they are still unsure ‘agua and lel ade cul ‘siler anionieaneabacinder how to react to new and a beauty gucso ina chinesoor somnsiosadihey seed ss tobacco regulation aw foes in rit ay the ch counes ie sirengtnens i he green lw bv imposing fare resane i umsextends restricuons wevidoor geanamicdala collected abesedia wmitlieperisandsadums the sualunie the harm olsbis aw wishin” ‘lg aw allowed smoking n contigu “avene fous smoking areas ip restaurants during the 10 months the law was ‘eaung more than 50 people and did debated’ in he ‘council offic not regulate smoking in resiauranis heard from lobbyists and business ‘eating 50 people or less the new people who said the law could put axe allows smoking only inrestaue some restaurants out of business philip morris which has fs bead ‘work places the new law re quarters on park avenue said it smoking 0 separately vent would consider leaving town ineg smoking rooms and to private ia november the council foosened offices aslong as no more than three some of he riginal resiricuons copyright © 1994 by the new york times company examining its options and a spokes ‘woman ellen merlo emphasized that any decision would be made in ‘accordance with “eouriery ard 4003 she said the company already has polices to safeguard the 70 percent of ls employees who do not smoke “we ‘dont believe nonsmokers shouldbe subjected to smoke if they gont want tobe” she said ‘aleranks ants ‘sepon o extinguish ter belouee but they are careful to emphasize that they plan ta comply fally wrth ‘the city’s new law after tney move from their current address a 431 ‘west lh street around the block 2 ‘new location on sth stree which ‘will features smoking lounge de signed in scrupulous compliance ‘withthe new regulations “some customers have been smoking cigars inhere since before  ‘was bor said christopher molina whose family has owned the res aurant for three generations e lke t0 take care of peo ries vices tan” she sad but she added ina way ismnice have all the responsibility taken from us as far as this question 18 ‘concerned but thas not something tm seeking diners atthe restaurant 00 rit ised the law “like fidel said t enjoy a good havans after my’ meal said james brown « busi reprinted by permission geseetifos,9
subject microbiological analysis date of alpha components and products  to rb hege from dc kay kl rush da lee pe md wallace rl montg the levels of bacteria cells and mold spores in various alpha components and products were measured samples which were analyzed can be classified into the following categories cag spray dried extract cag sde a samples stored in shed 112 b samples currently being used substrate samples a substrates used in tox tests b common lot substrates currently being used tox tests samples a tobacco from tox models b substrate from tox models 2802 besos,0
what to do oe tn ee cect 1 erent cos ras ea trea me ot i on 2s roc im pereey ee f a ree an i wr ke wave anice day care an as   pee poe tert hh fe ed savon eosas ener ee an bt sun ee scontwoano arstaunaur ne meat nh poe ee a poona aes med nts surgeon general’s warning smoking  causes lungcancer heart disease emphysema and mplicate pregnancy ee fen fae have a cea ote aa oer ieee eae festereiveen an sr ae eer poe ny sete erent i od eet fea earn care erg erect peered ney ates coeeoined es ee rn,4
from byron nelson ‘to brinkley carolyn g cole ron w cook bruce a cruz cynthia goodyear douglas holland toussaint l hyde timothy n loeser gary lowstetter jean s marshall m hurst mozingo roger l murray joe s phillips mike w powers david m shore pat j singleton john w ickic 13 stokes henry s suges michael l tompson randy walker t nathaniel williams richard 1 wold kent l ‘doug anderson’ ‘michael cockman’ ‘read debutts ‘mike ‘greg osmon ‘linda pfaffpfaffzl matt tilley’ oc gallagher elizabeth mitchell susan stone robert j bcc primary date 7221996 124100 pm last modified date 2001nov20 162523 last touched date sent date 1996jul22 113148 received date 1996jul22 124100 subject action memo 722 subject time 1226 pm action memo 722 date 72296 cattauragus county nyon 719 we mailed flyers to 125 retailers urging them to attend the 724 county legislative hearing on selfservice display ban proposal followup phone calls will begin on 722 pembroke maon 719 we began regular calls to 132 smokers 17 retailers and 20 owners of restaurants asking them to attend a board of health mecting on 722 where both smoking and retail restriction will be discussed but there is no written propose y28z loses rjr0000000503057326 70017 6094,2
2043123073 3 seis ae aol lv lhsin xas invy ol waas tus nan ‘ceva ke s sqof 400q ‘wopeey jenxas ssajs jod uj ualo tivo alitwn03 min 13 001 0e meebo tains “eamlane ooforo soul leung osboiy us  see ‘aujenka 403 wea ualuoa,9
january 23rd 1961 me w tom hoyt  tobacco industry research coumittes 150 rast 42nd street wew york 17 n ¥ dear mr hoyt ‘thank you for your letter of january 19th with which you enclosed sone material on arsenic suitable for mailing to dr ballenger in chicago the letter which dr hockett wrote j schlink was of course not sent very truly yours,0
tun 27 1885 «spp 0 s9fes 09 w plo umiow “f oqo1 suro sae wonbuans pus wap © s1s0h9 1899p 0 20 om saves uy suo i jo somandip o1 ssa008 buyalt ‘burpuads axe stayeurcooego  wow siouul bupuanasd 01 pay ‘0s i aasysuny hf hoan taiaua5 kawiony mossuut a siourur 0 208901 j0 ares ‘rgoit om dors pinom omp sk “srourut 0 su ‘ho souryoeu suypuan anasesi9 soy of suoga sunpee ¢ aueny stour 0 sopasea9 pwe onc asvosid jo s191 buijas jo pardiauod 40 pauy “82 9m 0 ounaoid arwd skes sjubyoidut buiziibued  toyuasey sy oogeqor yein bun ‘sojdures syuups  se yons op pinoo kx suazebo 20uj uo ued v4 snpuy co0eq0 aun e uta  s500 isuieby  vamp ‘auaous ain “bapjous wt seo 1 wedoid ‘outauos oy sodoy aupduoo suan 1388195 pliom any ayo vs ‘axo 80g ad 80008 spp fut 0 ax 0 wli od0¥q0 j ‘di ‘sonare8ip soma8 wos spry dooy 01 pause uresioud senun swon diva “sgi cny sndiows away 81 “87 ana “awasanam 2047832332,9
4   gersee 2c 192 esaae sie reem yemen ae i 013358 ee tle peg me cence a any be net connony inne they found that 139 ofthe dea seath section be says perhage one sama h dtcreg were tet tlohel relates compared gast crete se ras oe ah ean cargihg seg te usted by the onaind deeah eae sosei cnet cote ss zt cee nase getter often omited the presse reng nd ngs uence os acta cua een ces stated ble alahal ieee eee seleriten seen so ees satur i fecomene riera sti seeboeececriees wuas items a sed ay ser sem rsre rekon ‘d sn ean ay ad repores camer sa gre ee em eberie som ent ete ee soe ee ee gira reecapesy ala ‘sn sermon 24 gra hance a core roth ce ye see ie halos eal anes mectabanl igs us aimy nochwcion gee aeaion 7 o  states modify certificate to meet specific needs srerau meray ste eile tine waco preg seeeyeecn cee sym sgmel sa ep ore eae eee see ss cores eiiecscceme sere pe he ates eta res eere erc ret me ghee ele ne ears todinasa  piraeuerasitimess genase ia se meinl eee aceeas eames cee “se stet see feeomge goa caetipne hapupeeeetcen se eis so ee coca oregot residents have 04228 great slgiatoe having eapunicry ae ‘roar i assorted with 1s se gbs 813 chemphyaama and tee ef htenie alrmay dbstracton tases these ma ttded qutsuons oo ‘tee stitial unit ormerty sent dent as pregnant sean engan eperes— aacng ets te ny 2a ihn 6 months of death or hepiesiacd nena nee hemant er ar gees aig deh bt or abother massa atthe tne a aoe gs mentoring tebacee abimmations tanwar rate tema contd mp 8 fm a sore 1585 28 he 16 mail ws 3 sepscan fork the vital records de 4 9809etosz,9
soptenber 25 1964 dr salvatore f biscardt wooderd reacarch corporation fo boxe 405 keradon virgints pear dr biveurdt thank you for the coples of tho map of the nexndon axea we epprectote your thoughtfulnesy end your efforts in our bones i om hnppy to foport that the scconé burette we promised you haw beon fabricated and hopefully will be shipped soactine today we hopo that £t will xeseh you intéot at our leet wecting you meuttoned thut lt would be desireble to have colored aerobcwds for nrkex onterdal preferobly in lover sfx renge we have learned that the mnufacturer ean supply the bonds in ble  color wiih you thought would provide the best contrast we have ordered these in the 2653 meron efze and will bend you  supply oo soon 48 we feecive the elipnent al vepert om thanks for tho pops btveeredy youre bs wal steskay mad wste,0
interoffice correspondence may 14 1980 mr g r gunzenhauser re rd smoking behavior research pep 3820 after several brief discussions with carroll tompson and andy laurene i conclude we should forward the pep to mr horrigan for approval i agree with you that this should have been included in the revised budget andy laurene advises the 1980 cost will be approximately 70000 rather than 150000 as shown on the pep also it is not clear whether the proposed agreement is for 5 years or 35 years or yeartoyear up to 5 years see pep and carroll tompsons memorandum  vege aea page as to funding i would imagine this proposal if abproved will not cause an overrun in rds 1980 budget my understand ing from dr laurene is that they do have 30000 to 40000 in professional fees not committed perhaps unfilled budgeted positions would cover the rest if not rd management has the responsibility to explain in any event i think the entire 70000 should be shown as unbudgeted for 1980 not well handled but at this point i believe the pep should go forward after speaking to the several points above and any others you consider necessary ws r a emken rae sw attachment,0
